ic_id,ic_second_id,ngc_id,messier_id,object_name,object_type_abrev,object_type,ra_hour,ra_minute,dec_sign,dec_deg,dec_minute,constellation,major_axis,minor_axis,position_angle,b_mag,v_mag,j_mag,h_mag,k_mag,surface_brightness,ned_notes
IC3688,,,,,Dup,Galaxy,12,42.61666667,+,14,21.43166667,Coma Berenices,,,,,,,,,,
,,NGC5147,,,G,Galaxy,13,26.33333333,+,2,6.051666667,Virgo,1.47,1.36,160,12.7,,10.57,9.91,9.73,21.78,
,,NGC5675,,,G,Galaxy,14,32.66666667,+,36,18.13166667,Boötes,2.27,0.72,135,14,,10.36,9.56,9.42,23.73,
IC3689,,,,,G,Galaxy,12,42.61666667,+,20,51.03,Coma Berenices,0.62,0.47,84,16.26,,13,12.2,12.13,24.09,
,,NGC5154,,,G,Galaxy,13,26.48333333,+,36,0.6166666667,Canes Venatici,1.35,1.26,60,14.9,,12.2,11.64,11.24,23.94,
,,NGC5677,,,G,Galaxy,14,34.21666667,+,25,28.08166667,Boötes,0.94,0.7,136,14.8,,11.44,10.88,10.56,23.05,
IC3693,,,,,G,Galaxy,12,42.96666667,+,10,40.90833333,Virgo,0.66,0.46,94,15.4,,,12.53,,23.64,
,,NGC5162,,,G,Galaxy,13,29.43333333,+,11,0.4733333333,Virgo,2.96,1.6,162,13.7,,10.29,9.63,9.33,24.3,Called 'double nebula' in CGCG; UGC calls it galaxy with star superposed.
,,NGC5678,,,G,Galaxy,14,32.1,+,57,55.28666667,Draco,2.96,1.55,2,12.1,,9.25,8.55,8.28,22.92,The 2MASS position is 6 arcsec northwest of the optical nucleus.
IC3697,,,,,G,Galaxy,12,42.98333333,+,39,50.74,Canes Venatici,0.77,0.66,56,15.88,,13.18,12.32,12.13,23.95,
,,NGC5164,,,G,Galaxy,13,27.2,+,55,29.23,Ursa Major,0.99,0.9,35,14.6,,11.73,11.11,10.75,23.11,"MRK 0257 in Astrofiz,5,581,1969 table, but chart/note are for CGCG 271-046."
,,NGC5679A,,,G,Galaxy,14,35.1,+,5,21.41,Virgo,0.78,0.47,133,14.5,,14.37,13.83,13.91,,
IC3698,,,,,G,Galaxy,12,43.28333333,+,11,12.69166667,Virgo,0.49,0.41,5,15.4,,13.95,13.36,12.96,22.1,
,,NGC5168,,,OCl,Open Cluster,13,31.08333333,+,60,56.35,Centaurus,4.2,,,9.55,9.1,,,,,
,,NGC5679B,,,G,Galaxy,14,35.15,+,5,21.53666667,Virgo,1.08,0.62,124,14.5,,12.2,11.54,11.36,22.83,
IC3701,,,,,G,Galaxy,12,43.51666667,+,11,2.828333333,Virgo,0.45,0.34,59,16.59,,,,,23.58,Multiple SDSS entries describe this source.
,,NGC5169,,,G,Galaxy,13,28.16666667,+,46,40.32833333,Canes Venatici,1.51,0.6,104,14.3,,12,11.34,11.08,23.64,
,,NGC5679C,,,G,Galaxy,14,35.18333333,+,5,21.25666667,Virgo,0.27,0.18,11,16,,,,,22.94,
IC3706,,,,,**,Double star,12,43.8,+,9,13.86833333,Virgo,,,,,,,,,,
,,NGC5172,,,G,Galaxy,13,29.31666667,+,17,3.115,Coma Berenices,2.38,1.34,101,12.7,,10.17,9.5,9.2,22.84,
,,NGC5686,,,G,Galaxy,14,36.05,+,36,30.19166667,Boötes,0.77,0.73,80,15.2,,12.08,11.43,11.2,23.08,
IC3709,,,,,G,Galaxy,12,44.06666667,+,9,3.8,Virgo,0.67,0.58,4,15.3,,12.89,12.01,11.84,22.73,
,,NGC5174,,,Dup,Galaxy,13,29.43333333,+,11,0.4733333333,Virgo,,,,,,,,,,
,,NGC5693,,,G,Galaxy,14,36.18333333,+,48,35.10166667,Boötes,1.57,1.07,50,14.5,,11.84,11.26,11.08,23.59,
IC3712,,,,,Other,,12,44.28333333,+,10,22.47333333,Virgo,,,,,,,,,,Nothing here; nominal position.
,,NGC5177,,,G,Galaxy,13,29.4,+,11,47.82166667,Virgo,0.86,0.23,134,15.4,,12.6,11.65,11.35,23.17,
,,NGC5694,,,GCl,Globular Cluster,14,39.61666667,+,26,32.3,Hydra,3.3,,,11.58,10.89,,,,,
IC3726,,,,,G,Galaxy,12,44.71666667,+,40,40.74,Canes Venatici,1.33,0.29,115,15.6,,11.84,11,10.62,23.44,
,,NGC5178,,,G,Galaxy,13,29.48333333,+,11,37.48666667,Virgo,1.03,0.66,94,15,,11.86,11.08,11.03,23.49,
,,NGC5695,,,G,Galaxy,14,37.36666667,+,36,34.06833333,Boötes,0.99,0.49,139,14.55,13.6,10.63,9.98,9.67,22.01,
IC3727,,,,,G,Galaxy,12,45.1,+,10,54.05333333,Virgo,1.23,1.07,139,15.6,,,10.7,,23.79,
,,NGC5182,,,G,Galaxy,13,30.68333333,+,28,9.016666667,Hydra,2.06,1.6,12,13.22,,,,,23.45,The position in 1995AJ....110..463Q is 13 arcsec north of the nucleus.
,IC4471,NGC5697,,,G,Galaxy,14,36.53333333,+,41,41.15333333,Boötes,1,0.64,26,14.6,,11.99,11.3,11.05,23.05,
IC3729,,,,,G,Galaxy,12,44.88333333,+,39,21.07166667,Canes Venatici,0.34,0.26,44,16.32,,,,,22.82,
,,NGC5184,,,G,Galaxy,13,30.18333333,+,1,39.78333333,Virgo,1.57,0.94,128,13.7,,10.45,9.8,9.61,22.92,
,,NGC5703,,,G,Galaxy,14,38.83333333,+,30,26.55166667,Boötes,1.51,0.44,103,14.5,,11.41,10.74,10.51,23.47,
IC3731,,,,,G,Galaxy,12,45.08333333,+,12,26.78166667,Virgo,0.55,0.45,129,16.05,,13.33,12.54,12.41,23.23,
,,NGC5185,,,G,Galaxy,13,30.03333333,+,13,24.96333333,Virgo,2,0.74,58,14.7,,11.2,10.56,10.24,24.02,
,,NGC5706,,,Dup,Galaxy,14,38.7,+,30,27.955,Boötes,,,,,,,,,,
IC3735,,,,,G,Galaxy,12,45.33333333,+,13,41.56,Coma Berenices,1.18,0.87,151,15.1,,12.41,11.8,11.38,23.79,
,,NGC5193A,,,G,Galaxy,13,31.81666667,+,33,14.36666667,Centaurus,1.49,0.53,48,14,,11.42,10.68,10.94,23.68,
,,NGC5713,,,G,Galaxy,14,40.2,+,0,17.33333333,Virgo,2.47,1.7,11,11.84,11.2,9.22,8.61,8.33,22.03,
IC3737,,,,,**,Double star,12,45.33333333,+,21,57.49,Coma Berenices,,,,,,,,,,
,,NGC5196,,,G,Galaxy,13,31.33333333,+,1,36.9,Virgo,0.87,0.8,165,15.5,,12.05,11.3,11.13,23.57,
,,NGC5714,,,G,Galaxy,14,38.2,+,46,38.295,Boötes,2.84,0.5,82,14.2,,11,10.23,9.97,23.77,
IC3738,,,,,G,Galaxy,12,45.43333333,+,19,13.85166667,Coma Berenices,0.25,0.12,57,19.08,,,,,24.78,The IC number includes two neighboring stars.
,,NGC5198,,,G,Galaxy,13,30.18333333,+,46,40.24666667,Canes Venatici,2.03,1.68,15,13.2,,9.81,9.14,8.9,23.1,
,,NGC5723,,,G,Galaxy,14,38.96666667,+,46,41.37666667,Boötes,0.64,0.23,180,17,,13.26,12.51,12.25,24.43,
IC3743,,,,,Other,,12,45.68333333,+,11,6.126666667,Virgo,,,,,,,,,,Two Galactic stars.
,,NGC5200,,,**,Double star,13,31.7,+,0,1.816666667,Virgo,,,,,,,,,,
,,NGC5732,,,G,Galaxy,14,40.65,+,38,38.26833333,Boötes,1.23,0.65,42,14.4,,11.93,11.34,11.1,23.03,
IC3744,,,,,G,Galaxy,12,45.68333333,+,19,30.02,Coma Berenices,0.7,0.47,161,16.29,,13.18,12.39,11.94,23.96,
,,NGC5201,,,G,Galaxy,13,29.26666667,+,53,4.918333333,Ursa Major,1.58,0.99,127,14.3,,10.91,10.34,10.08,23.61,
,,NGC5735,,,G,Galaxy,14,42.55,+,28,43.58666667,Boötes,2,1.47,51,14.06,13.36,11.29,10.61,10.25,23.83,
IC3747,,,,,*,Star,12,45.56666667,+,37,58.11166667,Canes Venatici,,,,,,,,,,
,,NGC5204,,,G,Galaxy,13,29.61666667,+,58,25.12333333,Ursa Major,4.5,2.82,5,11.84,,10.24,9.64,9.51,23.32,
,,NGC5739,,,G,Galaxy,14,42.48333333,+,41,50.54,Boötes,1.75,1.26,44,13.7,,10,9.28,8.99,23.18,
IC3749,,,,,*,Star,12,45.85,+,19,32.135,Coma Berenices,,,,,,,,,,
,,NGC5205,,,G,Galaxy,13,30.06666667,+,62,30.695,Ursa Major,1.58,0.94,168,13.5,,10.67,9.59,9.76,22.89,
,,NGC5741,,,G,Galaxy,14,45.86666667,+,11,54.85,Libra,1.05,0.99,145,15,,10.89,10.22,9.93,23.61,
IC3751,,,,,G,Galaxy,12,45.75,+,37,49.38333333,Canes Venatici,0.2,0.17,85,16.6,,14.4,13.61,13.42,,
,,NGC5207,,,G,Galaxy,13,32.23333333,+,13,53.54333333,Virgo,1.75,0.88,142,14.7,,10.83,10.08,9.82,23.76,
,,NGC5742,,,G,Galaxy,14,45.61666667,+,11,48.58333333,Libra,1.17,0.87,72,14,,10.38,9.65,9.35,23.05,
IC3753,,,,,*,Star,12,46.06666667,+,19,7.27,Coma Berenices,,,,,,,,,,
,,NGC5211,,,G,Galaxy,13,33.08333333,+,1,2.15,Virgo,2,1.55,30,13.79,13.1,10.6,9.9,9.63,23.77,
,,NGC5743,,,G,Galaxy,14,45.18333333,+,20,54.81666667,Libra,1.29,0.47,92,13.85,,10.88,10.15,9.81,22.5,
IC3762,,,,,G,Galaxy,12,46.63333333,+,22,14.78166667,Coma Berenices,0.38,0.21,40,17.8,,,,,23.91,
,,NGC5215B,,,G,Galaxy,13,35.16666667,+,33,28.98333333,Centaurus,1.24,0.88,85,13.93,,,,,23.15,ESO-LV has two entries for this object.
,IC4493,NGC5747,,,GPair,Galaxy Pair,14,44.35,+,12,7.783333333,Boötes,1.3,,,,,,,,,
IC3764,IC817,,,,Dup,Galaxy,12,46.95,+,9,51.42666667,Virgo,,,,,,,,,,
,,NGC5216,,,G,Galaxy,13,32.11666667,+,62,42.04166667,Ursa Major,1.69,1.1,54,16.8,16.14,10.8,10.13,9.87,23.7,
,,NGC5747 NED01,,,G,Galaxy,14,44.35,+,12,7.7,Boötes,0.43,0.2,161,,,11.47,10.78,10.44,,
IC3767,,,,,G,Galaxy,12,46.91666667,+,10,10.945,Virgo,1.07,0.34,77,16.07,,,,,24.99,
,,NGC5218,,,G,Galaxy,13,32.16666667,+,62,46.065,Ursa Major,1.84,1.21,93,13.1,,10.14,9.43,9.21,22.86,
,,NGC5747 NED02,,,G,Galaxy,14,44.35,+,12,7.92,Boötes,1,0.78,174,14.4,,11.3,10.52,9.89,22.98,
IC3776,,,,,G,Galaxy,12,47.2,+,22,29.07666667,Coma Berenices,0.5,0.21,37,16.5,,,,,23.05,
,,NGC5219,,,Dup,Galaxy,13,38.7,+,45,51.36666667,Centaurus,,,,,,,,,,
,,NGC5754,,,G,Galaxy,14,45.33333333,+,38,43.87333333,Boötes,1.28,1.1,96,14.1,,10.95,10.26,10.03,23.12,
IC3778,,,,,G,Galaxy,12,47.03333333,+,40,35.785,Canes Venatici,0.55,0.35,38,15.6,,13.25,12.2,12.1,22.57,
,,NGC5221,,,G,Galaxy,13,34.93333333,+,13,49.95,Virgo,1.56,0.77,109,14.5,,10.88,10.26,10.05,23.6,Misidentified in VV as 'NGC 5226'.
,,NGC5755,,,G,Galaxy,14,45.41666667,+,38,46.79333333,Boötes,0.46,0.31,103,15.1,,12.6,11.93,11.43,21.96,
IC3782,,,,,*,Star,12,47.26666667,+,40,22.065,Canes Venatici,,,,,,,,,,
,,NGC5226,,,G,Galaxy,13,35.06666667,+,13,55.33,Virgo,0.5,0.26,17,,,13.54,12.41,12.69,23.82,
,,NGC5757,,,G,Galaxy,14,47.76666667,+,19,4.716666667,Libra,2.09,1.39,178,12.77,13.73,9.86,9.19,8.89,23.32,
IC3786,,,,,G,Galaxy,12,47.61666667,+,39,2.761666667,Canes Venatici,0.34,0.26,168,16.67,,14.22,13.69,13.26,22.95,
,,NGC5229,,,G,Galaxy,13,34.05,+,47,54.92666667,Canes Venatici,2.28,0.63,169,14.6,,12.49,12.09,11.67,23.91,
,,NGC5762,,,G,Galaxy,14,48.71666667,+,12,27.43333333,Boötes,1.34,0.97,141,14.3,,11.71,11.08,10.89,23.46,
IC3791,,,,,Dup,Galaxy,12,47.53333333,+,54,22.49,Ursa Major,,,,,,,,,,
,,NGC5233,,,G,Galaxy,13,35.21666667,+,34,40.64666667,Canes Venatici,1.46,0.76,80,14.8,,10.97,10.23,9.98,23.61,
,,NGC5763,,,G,Galaxy,14,48.98333333,+,12,29.40833333,Boötes,0.64,0.55,90,15.3,,12.19,11.46,10.99,,
IC3797,,,,,Other,,12,48.58333333,+,11,35.86833333,Virgo,,,,,,,,,,Nothing here; nominal position.
,,NGC5237,,,G,Galaxy,13,37.65,+,42,50.81666667,Centaurus,2.34,1.57,111,13.26,12.67,10.64,10.13,9.85,23.8,
,,NGC5765A,,,G,Galaxy,14,50.85,+,5,7.166666667,Virgo,0.8,0.35,96,14.6,,,,,22.12,Component 'a)' in UGC notes.
IC3798,,,,,*,Star,12,48.71666667,+,9,14.46166667,Virgo,,,,,,,,,,
,,NGC5239,,,G,Galaxy,13,36.43333333,+,7,22.175,Virgo,1.8,1.75,150,14.7,,11.29,10.98,10.22,24.39,
,,NGC5769,,,G,Galaxy,14,52.7,+,7,55.90833333,Boötes,0.98,0.79,102,14.9,,11.57,10.92,10.73,23.76,
IC3800,,,,,GPair,Galaxy Pair,12,48.43333333,+,36,34.55166667,Canes Venatici,0.6,,,,,,,,,
,,NGC5245,,,G,Galaxy,13,37.38333333,+,3,53.845,Virgo,0.56,0.21,90,15.3,,11.89,11.07,11.01,23.05,
,,NGC5772,,,G,Galaxy,14,51.65,+,40,35.95,Boötes,1.38,0.52,32,13.9,,10.49,9.72,9.52,22.6,
IC3800 NED01,,,,,G,Galaxy,12,48.43333333,+,36,34.55166667,Canes Venatici,0.32,0.21,47,18.31,,,,,24.6,
,,NGC5256 NED01,,,G,Galaxy,13,38.28333333,+,48,16.53333333,Ursa Major,0.22,0.19,117,14.19,13.42,11.27,10.52,9.8,21.59,
,,NGC5779,,,G,Galaxy,14,52.16666667,+,55,53.96666667,Draco,0.73,0.69,50,15.7,,12.19,11.47,11.22,23.6,
IC3802,,,,,*,Star,12,48.71666667,+,38,14.78666667,Canes Venatici,,,,,,,,,,
,,NGC5257,,,G,Galaxy,13,39.88333333,+,0,50.4,Virgo,1.48,0.77,85,13.7,12.99,11.14,10.46,10.08,22.78,UM 598 is a set of two HII regions within NGC 5257.
,,NGC5781,,,G,Galaxy,14,56.68333333,+,17,14.63333333,Libra,1.29,0.7,20,14,,10.97,10.31,9.98,22.68,
IC3804,,,,,Dup,Galaxy,12,48.76666667,+,35,19.96166667,Canes Venatici,,,,,,,,,,
,,NGC5258,,,G,Galaxy,13,39.96666667,+,0,49.85666667,Virgo,1.48,1.24,178,13.8,12.83,11.02,10.3,9.96,23.32,
,,NGC5782,,,G,Galaxy,14,55.91666667,+,11,51.69166667,Boötes,0.95,0.84,153,14.9,,11.07,10.47,10.07,23.41,
IC3808,,,,,G,Galaxy,12,48.98333333,+,40,35.755,Canes Venatici,0.95,0.42,156,18.2,17.19,12.22,11.5,11.34,23.36,This is sometimes incorrectly called IC 3810; that is a star.
,,NGC5259 NED01,,,G,Galaxy,13,39.38333333,+,30,59.54166667,Canes Venatici,0.83,0.55,101,16.35,,,,,24.86,Incorrectly called a superposed star in MCG Notes.
,,NGC5784,,,G,Galaxy,14,54.26666667,+,42,33.475,Boötes,1.48,1.36,65,13.7,,10.26,9.56,9.28,23.3,
IC3811,,,,,*,Star,12,49.43333333,+,21,27.72833333,Coma Berenices,,,,,,,,,,
,,NGC5263,,,G,Galaxy,13,39.93333333,+,28,24.035,Canes Venatici,1.14,0.39,26,14,,11.23,10.52,10.17,22.51,
,,NGC5787,,,G,Galaxy,14,55.26666667,+,42,30.41166667,Boötes,1.15,1.04,85,14.1,,10.91,10.25,9.96,23.03,
IC3813,,,,,G,Galaxy,12,50.03333333,+,25,55.25,Hydra,1.32,0.96,179,13.72,,10.41,9.66,9.51,23.12,
,,NGC5264,,,G,Galaxy,13,41.61666667,+,29,54.78333333,Hydra,2.97,2.2,64,12.96,12.39,11.49,10.87,10.54,23.42,
,,NGC5788,,,G,Galaxy,14,53.28333333,+,52,2.655,Boötes,0.73,0.59,33,15.6,,12.53,12,11.59,23.52,
IC3815,,,,,G,Galaxy,12,49.65,+,19,16.50166667,Coma Berenices,0.55,0.36,150,16.5,,14.26,13.87,13.17,24.05,
,,NGC5266,,,G,Galaxy,13,43.03333333,+,48,10.16666667,Centaurus,2.92,2.09,98,11.89,11.14,8.43,7.7,7.48,23.11,Confused HIPASS source
,,NGC5789,,,G,Galaxy,14,56.6,+,30,14.04166667,Boötes,1.15,1.03,92,13.9,,,,,22.97,
IC3817,,,,,G,Galaxy,12,49.71666667,+,22,49.88166667,Coma Berenices,0.26,0.18,34,17.29,,14.31,13.69,13.26,23.04,
,,NGC5266A,,,G,Galaxy,13,40.61666667,+,48,20.51666667,Centaurus,1.91,1.69,30,12.7,13.82,11.56,10.9,10.7,23,Confused and extended HIPASS source
,,NGC5791,,,G,Galaxy,14,58.76666667,+,19,16.01666667,Libra,2.71,1.43,172,12.89,,9.39,8.69,8.43,23.69,
IC3821,,,,,**,Double star,12,49.96666667,+,20,58.14166667,Coma Berenices,,,,,,,,,,
,,NGC5267,,,G,Galaxy,13,40.66666667,+,38,47.645,Canes Venatici,1.53,0.55,53,14.3,,10.83,10.13,9.83,23.06,
,,NGC5795,,,G,Galaxy,14,56.33333333,+,49,24.00333333,Boötes,0.78,0.33,63,15.01,,11.06,10.28,9.9,22.18,
IC3824,,,,,G,Galaxy,12,50.51666667,+,14,25.55,Corvus,1.13,0.71,0,14.83,,11.39,10.66,10.4,24.12,
,,NGC5268,,,*,Star,13,42.21666667,+,13,51.56666667,Virgo,,,,11.78,11.33,9.92,9.59,9.5,,
,,NGC5797,,,G,Galaxy,14,56.4,+,49,41.77,Boötes,1.58,1.01,108,13.6,,10.53,9.86,9.62,23.29,
IC3828,,,,,G,Galaxy,12,50.35,+,37,56.93666667,Canes Venatici,0.68,0.34,53,16.06,,13.51,12.96,12.56,23.59,
,,NGC5274,,,G,Galaxy,13,42.38333333,+,29,50.87,Canes Venatici,0.6,0.54,111,15.4,,12.43,11.72,11.52,23.16,
,,NGC5800,,,OCl,Open Cluster,15,1.8,+,51,55.11666667,Lupus,4.5,,,,,,,,,
IC3840,,,,,G,Galaxy,12,51.76666667,+,21,44.11166667,Coma Berenices,0.78,0.78,76,16.02,,,,,24.21,
,,NGC5278,,,G,Galaxy,13,41.66666667,+,55,40.23833333,Ursa Major,0.76,0.6,73,13.6,,11.25,10.64,10.27,21.72,Multiple SDSS entries describe this object.
,,NGC5805 NED01,,,G,Galaxy,14,57.2,+,49,37.74,Boötes,0.66,0.41,148,15,,12.53,11.85,11.45,23.85,
IC3842,,,,,G,Galaxy,12,51.6,+,40,22.28166667,Canes Venatici,0.34,0.3,164,16.09,,12.95,12.14,12.13,,
,,NGC5287,,,G,Galaxy,13,44.88333333,+,29,46.255,Canes Venatici,0.68,0.45,116,16,,12.45,11.75,11.51,23.56,
,,NGC5806,,,G,Galaxy,15,0,+,1,53.47833333,Virgo,3.03,1.63,172,12.4,11.7,9.42,8.76,8.45,23.05,
IC3844,,,,,G,Galaxy,12,52.11666667,+,39,49.095,Canes Venatici,0.39,0.3,31,16.34,,13.95,13.34,12.78,22.9,
,,NGC5289,,,G,Galaxy,13,45.15,+,41,30.20333333,Canes Venatici,2.33,0.7,100,14.09,13.09,10.76,9.93,9.74,23.83,
,,NGC5807,,,G,Galaxy,14,55.81666667,+,63,54.20833333,Draco,0.78,0.65,83,15,,11.65,10.82,10.65,23.54,
IC3845,,,,,*,Star,12,52.15,+,38,37.14,Canes Venatici,,,,,,,,,,
,,NGC5296,,,G,Galaxy,13,46.31666667,+,43,51.08166667,Canes Venatici,0.95,0.55,11,15,,12.62,12.01,11.9,23.06,
,,NGC5810,,,G,Galaxy,15,2.716666667,+,17,52.08333333,Libra,0.98,0.52,17,14.01,,11.67,11.09,10.98,22.38,
IC3846,,,,,Other,,12,52.65,+,13,38.83333333,Coma Berenices,,,,,,,,,,Nothing here; nominal position.
,,NGC5297,,,G,Galaxy,13,46.4,+,43,52.34,Canes Venatici,3.72,0.91,147,12.3,,9.84,9.18,8.89,22.87,
,,NGC5820,,,G,Galaxy,14,58.66666667,+,53,53.165,Boötes,1.66,1.13,94,13,,10.12,9.42,9.14,23.03,
IC3848 NED01,,,,,G,Galaxy,12,52.66666667,+,21,25,Coma Berenices,0.55,0.28,113,17.56,,,,,25.09,
,,NGC5298,,,G,Galaxy,13,48.6,+,30,25.71666667,Centaurus,1.86,0.87,69,13.83,13.09,10.43,9.73,9.45,23.54,
,,NGC5822,,,OCl,Open Cluster,15,4.35,+,54,23.78333333,Lupus,18,,,,6.5,,,,,
IC3849,,,,,Other,,12,52.61666667,+,40,46.33333333,Canes Venatici,,,,,,,,,,
,,NGC5300,,,G,Galaxy,13,48.26666667,+,3,57.05166667,Virgo,2.83,1.84,147,13.7,,10.4,9.71,9.5,23.77,
,,NGC5823,,,OCl,Open Cluster,15,5.516666667,+,55,36.23333333,Circinus,3.9,,,8.61,7.9,,,,,
IC3856,,,,,G,Galaxy,12,53.76666667,+,20,5.525,Coma Berenices,0.67,0.2,122,16.6,,13.96,13.16,13.03,23.77,
,,NGC5301,,,G,Galaxy,13,46.41666667,+,46,6.423333333,Canes Venatici,3.96,0.84,150,13,,10.08,9.34,9.11,23.85,
,,NGC5826,,,G,Galaxy,15,6.566666667,+,55,28.74666667,Draco,1.39,1.04,26,14.89,,,,,24.46,
IC3857,,,,,G,Galaxy,12,53.93333333,+,19,36.42833333,Coma Berenices,0.42,0.34,109,17.51,,,,,24.38,
,,NGC5303,,,G,Galaxy,13,47.75,+,38,18.27833333,Canes Venatici,0.86,0.44,90,12.9,,11.1,10.53,10.23,20.77,
,,NGC5827,,,G,Galaxy,15,1.9,+,25,57.87166667,Boötes,1.04,0.75,131,13.7,,11.01,10.38,10.13,22.31,
IC3862,,,,,GPair,Galaxy Pair,12,53.88333333,+,36,5.216666667,Canes Venatici,0.9,,,,,,,,,
,,NGC5314,,,G,Galaxy,13,46.18333333,+,70,20.37333333,Ursa Minor,0.95,0.49,86,14.6,,11.36,10.65,10.36,23.01,
,,NGC5832,,,G,Galaxy,14,57.76666667,+,71,40.94,Ursa Minor,1.86,0.78,42,12.8,12.26,,,,23.03,
IC3864,,,,,G,Galaxy,12,54.2,+,18,57.07666667,Coma Berenices,0.23,0.16,146,18.57,,,,,24.13,"The IC number includes the superposed star, SDSS J125412.42+185705.1."
,,NGC5316,,,OCl,Open Cluster,13,53.95,+,61,52.15,Centaurus,9.9,,,6.08,6,,,,,
,,NGC5833,,,G,Galaxy,15,11.9,+,72,51.56666667,Apus,3.1,0.98,129,12.3,,9.52,8.76,8.43,23.19,Confused and extended HIPASS source
IC3865,,,,,G,Galaxy,12,54.23333333,+,18,52.13666667,Coma Berenices,0.48,0.35,145,16.49,,,,,23.75,
,,NGC5331,,,GPair,Galaxy Pair,13,52.26666667,+,2,6.181666667,Virgo,1.1,,,,,,,,,
,,NGC5835,,,G,Galaxy,15,2.416666667,+,48,52.66166667,Boötes,1.13,0.78,163,15.7,,11.99,11.4,11.25,24.12,
IC3866 NED01,,,,,G,Galaxy,12,54.25,+,22,21.57833333,Coma Berenices,0.33,0.22,123,17.66,,,,,23.77,
,,NGC5332,,,G,Galaxy,13,52.13333333,+,16,58.185,Boötes,1.06,0.77,55,14.1,,10.77,10.07,9.84,22.81,
,,NGC5840,,,Other,,15,4.35,+,29,30.36166667,Boötes,,,,,,,,,,Nothing at this position.
IC3867,,,,,G,Galaxy,12,54.33333333,+,18,56.50833333,Coma Berenices,0.67,0.42,115,16.41,,13.2,12.57,11.98,24.1,
,,NGC5333,,,G,Galaxy,13,54.4,+,48,30.75,Centaurus,2.18,1.09,51,12.82,,9.34,8.62,8.37,23.21,
,,NGC5841,,,G,Galaxy,15,6.583333333,+,2,0.2883333333,Virgo,1.19,0.49,150,14.8,,11.35,10.69,10.52,23.53,
IC3871,,,,,G,Galaxy,12,54.43333333,+,18,55.74833333,Coma Berenices,0.52,0.43,17,16.51,,13.47,12.83,12.35,23.94,
,,NGC5336,,,G,Galaxy,13,52.16666667,+,43,14.575,Canes Venatici,1.22,0.92,101,13.6,,11.67,11.07,10.81,22.76,
,,NGC5846,,,G,Galaxy,15,6.483333333,+,1,36.33666667,Virgo,4.27,4.05,35,11.9,,7.88,7.2,6.94,23.12,Called 'NGC 5846a' in MCG.
IC3876,,,,,G,Galaxy,12,54.8,+,19,0.92,Coma Berenices,0.4,0.23,43,17.79,,,,,24.09,
,,NGC5340,,,G,Galaxy,13,49,+,72,39.23,Ursa Minor,0.84,0.64,85,15.2,,11.44,10.72,10.38,,MCG declination is -10 arcmin in error.
,,NGC5850,,,G,Galaxy,15,7.133333333,+,1,32.655,Virgo,3.35,2.37,119,11.5,,9.02,8.38,8.1,23,
IC3877,,,,,G,Galaxy,12,54.81666667,+,19,10.69666667,Coma Berenices,3.07,0.73,25,14.1,,12.27,11.79,11.96,23.92,Often incorrectly called IC 3881.
,,NGC5347,,,G,Galaxy,13,53.3,+,33,29.45,Canes Venatici,1.62,1.19,122,13.46,12.7,10.62,9.98,9.65,23.03,Large position error in 1991ApJS...76.1043P.
,,NGC5855,,,G,Galaxy,15,7.816666667,+,3,59.05,Virgo,0.83,0.61,62,15.5,,11.7,10.93,10.69,23.8,
IC3882,,,,,G,Galaxy,12,54.9,+,22,34.535,Coma Berenices,0.53,0.28,157,16.72,,14.51,14.22,13.58,23.84,
,,NGC5353,,,G,Galaxy,13,53.45,+,40,16.98166667,Canes Venatici,2.37,1.18,152,11.8,,8.52,7.73,7.63,22.57,
,,NGC5867,,,G,Galaxy,15,6.4,+,55,43.895,Draco,0.44,0.36,58,,,,,,23.65,
IC3888,,,,,G,Galaxy,12,54.76666667,+,39,34.27666667,Canes Venatici,0.9,0.35,57,15.24,,12.06,11.35,11.01,23.39,
,IC958,NGC5360,,,G,Galaxy,13,55.65,+,4,59.10333333,Virgo,1.1,0.62,63,14.9,,11.78,11.06,11.15,23.76,Identification as IC 0958 is not certain.
,,NGC5880,,,G,Galaxy,15,15.01666667,+,14,34.75,Libra,0.87,0.67,145,15.04,,11.47,10.72,10.44,23.62,
IC3889,,,,,*,Star,12,54.85,+,36,1.01,Canes Venatici,,,,,,,,,,The IC number may also include two other stars and a faint galaxy.
,,NGC5362,,,G,Galaxy,13,54.88333333,+,41,18.81166667,Canes Venatici,1.89,0.78,87,13.2,,10.88,10.24,9.98,22.85,
,,NGC5884,,,**,Double star,15,13.15,+,31,51.66333333,Boötes,,,,,,,,,,
IC3890,,,,,G,Galaxy,12,54.83333333,+,37,11.11833333,Canes Venatici,0.44,0.34,19,17.32,,14.47,13.83,13.69,24.06,
,,NGC5365,,,G,Galaxy,13,57.85,+,43,55.88333333,Centaurus,3.88,2.14,174,12.2,11.14,8.83,8.18,7.92,24.03,
,,NGC5885,,,G,Galaxy,15,15.06666667,+,10,5.166666667,Libra,3.07,2.59,58,11.7,,10.35,9.86,9.01,23.37,This is a part of the galaxy NGC 5885.
IC3896,,,,,G,Galaxy,12,56.71666667,+,50,20.81666667,Centaurus,3.05,2.12,6,12.53,11.6,8.76,8.01,7.79,23.45,
,,NGC5365A,,,G,Galaxy,13,56.66666667,+,44,0.55,Centaurus,2.84,0.68,94,13.6,13.52,9.89,9.12,8.84,23.61,
